01.MHAa42e1.seq	WC9.14
01.MHAa43c1.seq	WC13.34
01.MHAa56e1.seq	WC17.7
01.MHAa98e1.seq	WC8.6
01.MMHAP12FLA1.seq	WC16.9
01.MMHAP18FRA7.seq	WC6.10
01.MMHAP25FRA7.seq	WC8.3
01.MMHAP26FRA7.seq	WC2.43
01.MMHAP27FRA7.seq	WC9.1
01.MMHAP28FLA1.seq	WC15.28
01.MMHAP32FLA1.seq	WC2.3
01.MMHAP33FRA7.seq	WC18.24
01.MMHAP36FRA7.seq	WCX.34
01.MMHAP38FLA1.seq	WC16.13
01.MMHAP42FRA7.seq	WCX.33
01.MMHAP47FLA1.seq	WC18.27
01.MMHAP53FLA1.seq	WC11.30
01.MMHAP54FLA1.seq	WC2.36
01.MMHAP57FRA7.seq	WC6.11
01.MMHAP58FLA1.seq	WC8.15
01.MMHAP59FRA7.seq	WC11.12
01.MMHAP62FLA1.seq	WC18.27
01.MMHAP62FRA7.seq	WC13.17
01.MMHAP63FLA1.seq	WC6.6
01.MMHAP63FRA7.seq	WC18.28
01.MMHAP64FLA1.seq	WC1.71
01.MMHAP67FLA1.seq	WC18.13
01.MMHAP69FLA1.seq	WC6.7
01.MMHAP6FLA1.seq	WC2.42
01.MMHAP6FRA7.seq	WC19.2
01.MMHAP71FRA7.seq	WC4.35
01.MMHAP76FLA1.seq	WC15.36
01.MMHAP84FRA7.seq	WC3.25
01.MMHAP85FRA7.seq	WC17.12
01.MMHAP88FLA1.seq	WC7.7
01.MMHAP88FRA7.seq	WC1.35
01.MMHAP8FRA7.seq	WC3.5
01.MMHAP90FLA1.seq	WC1.28
01.MMHAP90FRA7.seq	WC9.35
01.MMHAP93FRA7.seq	WC1.12
01.MMHAP95FRA7.seq	WC11.12
01.MMHAP96FRA7.seq	WC6.13
01.MMHAP9FLA1.seq	WC1.31
01.mHAa9f1.seq	WC16.8
02.MHAa50e2.seq	WCX.43
02.MHAa56e2.seq	WC6.11
02.MHAa64e2.seq	WC3.19
02.MHAa89e2.seq	WC13.27
02.MHAa92a2.seq	WC6.27
02.MHAa92e2.seq	WC12.26
02.MMHAP11FLA2.seq	WC11.14
02.MMHAP11FRA8.seq	WC16.25
02.MMHAP15FLA2.seq	WC6.19
02.MMHAP15FRA8.seq	WC12.12
02.MMHAP16FLA2.seq	WC9.2
02.MMHAP16FRA8.seq	WC14.36
02.MMHAP17FA2.seq	WC15.31
02.MMHAP19FRA8.seq	WC4.5
02.MMHAP26FLA2.seq	WC8.24
02.MMHAP26FRA8.seq	WC11.24
02.MMHAP32FLA2.seq	WC10.48
02.MMHAP35FLA2.seq	WC8.16
02.MMHAP36FLA2.seq	WC16.26
02.MMHAP37FLA2.seq	WC4.47
02.MMHAP4FRA8.seq	WC8.40
02.MMHAP56FRA8.seq	WC12.22
02.MMHAP5FLA2.seq	WC11.11
02.MMHAP62FLA2.seq	WC12.7
02.MMHAP64FRA8.seq	WC15.19
02.MMHAP67FRA8.seq	WC2.35
02.MMHAP6FLA2.seq	WC7.34
02.MMHAP76FLA2.seq	WC8.30
02.MMHAP81FRA8.seq	WC13.14
02.MMHAP85FRA8.seq	WC19.3
02.MMHAP86FRA8.seq	WC15.4
02.MMHAP90FLA2.seq	WC11.5
02.MMHAP91FRA8.seq	WC16.33
02.MMHAP94FRA8.seq	WC5.52
02.MMHAP95FRA8.seq	WC7.46
02.MMHAP9FRA8.seq	WC2.14
02.mHAa3d2.seq	WC7.45
03.E1_9_6_95.seq	WC12.7
03.MHAa75a3.seq	WC7.41
03.MHAa89e3.seq	WC19.8
03.MHAa92e3.seq	WC2.3
03.MHAa96a3.seq	WC7.42
03.MMHAP11FLA3.seq	WC10.10
03.MMHAP15FLA3.seq	WC6.31
03.MMHAP15FRA9.seq	WC12.12
03.MMHAP16FRA9.seq	WC18.2
03.MMHAP23FLA3.seq	WC17.14
03.MMHAP24FLA3.seq	WC19.21
03.MMHAP26FRA9.seq	WC1.13
03.MMHAP27FRA9.seq	WC8.12
03.MMHAP28FRA9.seq	WC11.32
03.MMHAP34FRA9.seq	WC11.8
03.MMHAP35FLA3.seq	WC11.12
03.MMHAP35FRA9.seq	WC15.29
03.MMHAP36FLA3.seq	WC1.25
03.MMHAP37FLA3.seq	WC9.27
03.MMHAP38FRA9.seq	WC16.32
03.MMHAP4FRA9.seq	WC15.35
03.MMHAP54FRA9.seq	WC6.47
03.MMHAP63FLA3.seq	WC11.22
03.MMHAP64FLA3.seq	WC11.38
03.MMHAP64FRA9.seq	WC5.52
03.MMHAP6FLA3.seq	WC7.18
03.MMHAP70FRA9.seq	WC15.12
03.MMHAP76FLA3.seq	WC14.24
03.MMHAP81FRA9.seq	WC2.40
03.MMHAP83FRA9.seq	WC18.24
03.MMHAP85FLA3.seq	WC1.2
03.MMHAP86FRA9.seq	WC6.9
03.MMHAP88FRA9.seq	WC6.31
03.MMHAP8FRA9.seq	WC8.43
03.MMHAP94FLA3.seq	WC19.9
03.MMHAP94FRA9.seq	WC1.29
03.MMHAP95FRA9.seq	WC5.19
03.MMHAP9FLA3.seq	WC13.17
03.mHAa9f3.seq	WC1.25
04.MHAa43c4.seq	WC15.23
04.MHAa63a4.seq	WC1.19
04.MHAa92e4.seq	WC15.17
04.MHAa93e4.seq	WC13.4
04.MHAa98e4.seq	WC3.9
04.MMHAP15FLB1.seq	WC3.25
04.MMHAP16FLB1.seq	WC3.49
04.MMHAP17FB1.seq	WC6.29
04.MMHAP24FLB1.seq	WC8.18
04.MMHAP25FLB1.seq	WC13.4
04.MMHAP27FLB1.seq	WC1.24
04.MMHAP27FRB7.seq	WCX.32
04.MMHAP28FRB7.seq	WC9.44
04.MMHAP31FLB1.seq	WC9.4
04.MMHAP35FLB1.seq	WCX.18
04.MMHAP36FRB7.seq	WC19.6
04.MMHAP37FLB1.seq	WC1.42
04.MMHAP38FLB1.seq	WC2.32
04.MMHAP3FLB1.seq	WC7.46
04.MMHAP54FLB1.seq	WC18.12
04.MMHAP59FLB1.seq	WC13.34
04.MMHAP59FRB7.seq	WC8.26
04.MMHAP63FLB1.seq	WC2.40
04.MMHAP64FRB7.seq	WC7.28
04.MMHAP67FLB1.seq	WC13.8
04.MMHAP6FLB1.seq	WC6.1
04.MMHAP71FRB7.seq	WC7.19
04.MMHAP75FRB7.seq	WC10.6
04.MMHAP7FLB1.seq	WC5.15
04.MMHAP88FRB7.seq	WC9.35
04.MMHAP90FLB1.seq	WC6.7
04.MMHAP90FRB7.seq	WC12.5
04.MMHAP91FLB1.seq	WC17.23
04.MMHAP9FLB1.seq	WC15.29
04.MMHAP9FRB7.seq	WC1.40
05.MHAa56e5.seq	WC12.26
05.MMHAP12FLB2.seq	WC11.37
05.MMHAP12FRB8.seq	WC8.12
05.MMHAP14FLB2.seq	WC3.22
05.MMHAP17FRB8.seq	WC5.23
05.MMHAP18FLB2.seq	WC13.31
05.MMHAP19FRB8.seq	WC9.17
05.MMHAP20FRB8.seq	WC2.27
05.MMHAP25FLB2.seq	WC1.59
05.MMHAP25FRB8.seq	WC9.1
05.MMHAP26FLB2.seq	WC3.37
05.MMHAP28FRB8.seq	WC12.13
05.MMHAP29FLB2.seq	WC7.16
05.MMHAP31FLB2.seq	WC4.11
05.MMHAP34FRB8.seq	WCX.18
05.MMHAP36FRB8.seq	WC10.43
05.MMHAP38FLB2.seq	WC9.10
05.MMHAP3FRB8.seq	WC1.42
05.MMHAP40FRB8.seq	WC8.34
05.MMHAP4FRB8.seq	WC2.32
05.MMHAP51FRB8.seq	WC14.13
05.MMHAP54FLB2.seq	WC4.38
05.MMHAP54FRB8.seq	WC11.10
05.MMHAP56FRB8.seq	WC12.7
05.MMHAP58FLB2.seq	WC7.24
05.MMHAP58FRB8.seq	WC17.13
05.MMHAP59FLB2.seq	WC1.8
05.MMHAP5FRB8.seq	WC5.53
05.MMHAP61FRB8.seq	WC5.40
05.MMHAP62FRB8.seq	WC3.19
05.MMHAP63FLB2.seq	WC8.24
05.MMHAP64FRB8.seq	WC2.19
05.MMHAP66FLB2.seq	WC1.49
05.MMHAP66FRB8.seq	WC11.39
05.MMHAP71FRB8.seq	WC10.30
05.MMHAP76FLB2.seq	WC14.23
05.MMHAP7FLB2.seq	WC18.3
05.MMHAP80FLB2.seq	WC13.35
05.MMHAP82FRB8.seq	WC3.26
05.MMHAP84FLB2.seq	WC16.25
05.MMHAP84FRB8.seq	WC1.24
05.MMHAP90FLB2.seq	WC18.9
05.MMHAP91FLB2.seq	WC8.27
05.MMHAP9FLB2.seq	WC1.11
05.MMHAP9FRB8.seq	WC5.15
05.mHAa7h5.seq	WC8.15
06.MHAa63a6.seq	WC1.64
06.MHAa81T_M13Rev.seq	WC5.2
06.MMHAP10FRB9.seq	WC10.30
06.MMHAP14FLB3.seq	WC7.14
06.MMHAP14FRB9.seq	WC13.36
06.MMHAP15FLB3.seq	WC2.58
06.MMHAP15FRB9.seq	WC11.5
06.MMHAP16FLB3.seq	WC7.44
06.MMHAP16FRB9.seq	WC9.26
06.MMHAP23FLB3.seq	WC11.17
06.MMHAP25FRB9.seq	WC1.14
06.MMHAP32FLB3.seq	WC4.4
06.MMHAP34FLB3.seq	WC13.31
06.MMHAP38FLB3.seq	WC7.14
06.MMHAP47FLB3.seq	WC18.24
06.MMHAP48FLB3.seq	WC17.9
06.MMHAP50FLB3.seq	WC15.19
06.MMHAP54FRB9.seq	WC3.18
06.MMHAP59FLB3.seq	WC14.27
06.MMHAP59FRB9.seq	WC19.19
06.MMHAP63FRB9.seq	WC12.37
06.MMHAP65FRB9.seq	WC9.6
06.MMHAP66FRB9.seq	WC17.22
06.MMHAP69FLB3.seq	WC14.4
06.MMHAP71FRB9.seq	WC18.23
06.MMHAP76FRB9.seq	WC6.31
06.MMHAP82FLB3.seq	WC4.11
06.MMHAP83FLB3.seq	WC6.38
06.MMHAP84FRB9.seq	WC6.8
06.MMHAP86FLB3.seq	WC15.16
06.MMHAP95FRB9.seq	WC16.7
06.MMHAP9FLB3.seq	WC5.13
07.MHAa43c7.seq	WC7.44
07.MHAa50e7.seq	WC9.3
07.MHAa64e7.seq	WC7.25
07.MHAa92e7.seq	WC6.34
07.MMHAP10FC1.seq	WC1.22
07.MMHAP12FRC7.seq	WC12.24
07.MMHAP17FC1.seq	WC10.44
07.MMHAP24FLC1.seq	WC7.24
07.MMHAP27FLC1.seq	WC4.22
07.MMHAP28FRC7.seq	WC8.36
07.MMHAP29FLC1.seq	WC1.20
07.MMHAP31FLC1.seq	WC9.9
07.MMHAP34FLC1.seq	WC2.48
07.MMHAP35FLC1.seq	WC5.3
07.MMHAP37FRC7.seq	WC5.18
07.MMHAP50FLC1.seq	WC19.21
07.MMHAP53FLC1.seq	WC7.19
07.MMHAP53FRC7.seq	WC9.21
07.MMHAP54FLC1.seq	WC3.25
07.MMHAP57FRC7.seq	WC5.37
07.MMHAP61FLC1.seq	WC11.15
07.MMHAP61FRC7.seq	WC1.51
07.MMHAP63FLC1.seq	WC12.26
07.MMHAP63FRC7.seq	WC11.11
07.MMHAP64FLC1.seq	WC2.70
07.MMHAP66FLC1.seq	WC11.5
07.MMHAP6FLC1.seq	WC11.11
07.MMHAP71FLC1.seq	WC13.35
07.MMHAP84FLC1.seq	WC4.26
07.MMHAP85FLC1.seq	WC5.36
07.MMHAP85FRC7.seq	WC7.45
07.MMHAP86FLC1.seq	WC8.11
07.MMHAP86FRC7.seq	WC6.11
07.MMHAP88FRC7.seq	WC3.16
07.MMHAP97FRC7.seq	WC11.17
07.MMHAP9FLC1.seq	WC4.31
07.MMHAP9FRC7.seq	WC18.20
07.mHAa9f7.seq	WC5.1
08.E1_9_6_95.seq	WC14.23
08.MHAa46e8.seq	WC8.25
08.MHAa61B.seq	WC12.18
08.MHAa89e8.seq	WC11.28
08.MHAa92a8.seq	WC6.48
08.MHAa96a8.seq	WC19.20
08.MMHAP12FRC8.seq	WC2.43
08.MMHAP16FLC2.seq	WC14.22
08.MMHAP16FRC8.seq	WC4.8
08.MMHAP17FRC8.seq	WC19.8
08.MMHAP18FRC8.seq	WC3.15
08.MMHAP23FRC8.seq	WC13.13
08.MMHAP24FRC8.seq	WC7.50
08.MMHAP25FLC2.seq	WC12.5
08.MMHAP27FRC8.seq	WC14.14
08.MMHAP28FRC8.seq	WC3.45
08.MMHAP29FLC2.seq	WC10.6
08.MMHAP29FRC8.seq	WC10.18
08.MMHAP31FLC2.seq	WC3.45
08.MMHAP34FLC2.seq	WC10.4
08.MMHAP36FLC2.seq	WC15.2
08.MMHAP37FRC8.seq	WC13.13
08.MMHAP38FRC8.seq	WC11.5
08.MMHAP42FLC2.seq	WC3.25
08.MMHAP47FLC2.seq	WC15.4
08.MMHAP50FRC8.seq	WC6.6
08.MMHAP53FLC2.seq	WC3.46
08.MMHAP58FRC8.seq	WC2.68
08.MMHAP59FLC2.seq	WC8.41
08.MMHAP62FLC2.seq	WC15.28
08.MMHAP64FLC2.seq	WC7.34
08.MMHAP69FLC2.seq	WC10.8
08.MMHAP69FRC8.seq	WC16.19
08.MMHAP6FRC8.seq	WC1.71
08.MMHAP71FLC2.seq	WC4.4
08.MMHAP76FRC8.seq	WC9.16
08.MMHAP81FLC2.seq	WC11.16
08.MMHAP84FLC2.seq	WC10.43
08.MMHAP84FRC8.seq	WC6.28
08.MMHAP85FLC2.seq	WC18.7
08.MMHAP85FRC8.seq	WC18.26
08.MMHAP91FRC8.seq	WC1.13
08.MMHAP94FRC8.seq	WCX.13
08.MMHAP97FRC8.seq	WC15.37
08.MMHAP9FRC8.seq	WC2.63
08.mHAa9f8.seq	WC16.23
09.MHAa55e9.seq	WC14.19
09.MHAa77a9.seq	WC11.11
09.MMHAP10FC3.seq	WC11.9
09.MMHAP11FLC3.seq	WC16.17
09.MMHAP12FRC9.seq	WC2.69
09.MMHAP14FLC3.seq	WC15.2
09.MMHAP14FRC9.seq	WC2.14
09.MMHAP15FLC3.seq	WC12.18
09.MMHAP23FLC3.seq	WC4.54
09.MMHAP23FRC9.seq	WC2.24
09.MMHAP26FRC9.seq	WC12.32
09.MMHAP28FLC3.seq	WCX.34
09.MMHAP29FLC3.seq	WC1.38
09.MMHAP31FLC3.seq	WC19.9
09.MMHAP34FRC9.seq	WC14.7
09.MMHAP35FLC3.seq	WC5.19
09.MMHAP36FLC3.seq	WC11.8
09.MMHAP36FRC9.seq	WC13.31
09.MMHAP37FRC9.seq	WC4.17
09.MMHAP44FLC3.seq	WC18.15
09.MMHAP48FLC3.seq	WC11.1
09.MMHAP4FRC9.seq	WC2.55
09.MMHAP53FRC9.seq	WC18.5
09.MMHAP54FLC3.seq	WC14.36
09.MMHAP57FRC9.seq	WC7.41
09.MMHAP5FLC3.seq	WC18.3
09.MMHAP5FRC9.seq	WC3.19
09.MMHAP61FLC3.seq	WC2.51
09.MMHAP61FRC9.seq	WC12.25
09.MMHAP63FLC3.seq	WC4.41
09.MMHAP64FRC9.seq	WC11.8
09.MMHAP68FRC9.seq	WC4.11
09.MMHAP69FLC3.seq	WC18.17
09.MMHAP6FRC9.seq	WC19.20
09.MMHAP70FLC3.seq	WC7.6
09.MMHAP76FLC3.seq	WC1.62
09.MMHAP76FRC9.seq	WC6.7
09.MMHAP82FLC3.seq	WC1.38
09.MMHAP84FLC3.seq	WC2.47
09.MMHAP85FLC3.seq	WC5.37
09.MMHAP86FLC3.seq	WC14.31
09.MMHAP88FRC9.seq	WC16.8
09.MMHAP8FRC9.seq	WC14.19
09.MMHAP90FLC3.seq	WC4.25
09.MMHAP91FRC9.seq	WC4.30
09.MMHAP94FLC3.seq	WC13.35
09.mHAa3d9.seq	WC3.49
10.G1_8_30_95a79B.seq	WC3.46
10.MHAa43c10.seq	WC3.37
10.MHAa55e10.seq	WC10.6
10.MHAa63e10.seq	WC5.18
10.MHAa64e10.seq	WCX.34
10.MHAa65T_M13Rev.seq	WC3.45
10.MHAa89e10.seq	WC3.30
10.MHAa91e10.seq	WC12.3
10.MHAa96a10.seq	WC7.44
10.MHAa98e10.seq	WC5.37
10.MMHAP12FRD7.seq	WC15.37
10.MMHAP16FRD7.seq	WC9.10
10.MMHAP20FRD7.seq	WC2.17
10.MMHAP25FRD7.seq	WC11.18
10.MMHAP26FLD1.seq	WC8.10
10.MMHAP27FRD7.seq	WC2.14
10.MMHAP28FLD1.seq	WC10.35
10.MMHAP30FLD1.seq	WC15.35
10.MMHAP31FLD1.seq	WC2.41
10.MMHAP34FLD1.seq	WC12.18
10.MMHAP35FLD1.seq	WC18.24
10.MMHAP35FRD7.seq	WC18.5
10.MMHAP38FLD1.seq	WC3.19
10.MMHAP3FRD7.seq	WC8.7
10.MMHAP42FRD7.seq	WC16.25
10.MMHAP47FLD1.seq	WC13.34
10.MMHAP4FRD7.seq	WC4.38
10.MMHAP54FLD1.seq	WC2.63
10.MMHAP59FLD1.seq	WC9.16
10.MMHAP5FLD1.seq	WC15.37
10.MMHAP61FLD1.seq	WC2.21
10.MMHAP62FRD7.seq	WC7.20
10.MMHAP63FLD1.seq	WC8.12
10.MMHAP64FLD1.seq	WC6.41
