01.MHAa42e1.seq	WC-1073
01.MHAa43c1.seq	WC-339
01.MHAa56e1.seq	WC-498
01.MHAa98e1.seq	WC-1001
01.MMHAP12FLA1.seq	WC-453
01.MMHAP18FRA7.seq	WC-865
01.MMHAP25FRA7.seq	WC-997
01.MMHAP26FRA7.seq	WC-658
01.MMHAP27FRA7.seq	WC-1056
01.MMHAP28FLA1.seq	WC-426
01.MMHAP32FLA1.seq	WC-602
01.MMHAP33FRA7.seq	WC-559
01.MMHAP36FRA7.seq	WC-1161
01.MMHAP38FLA1.seq	WC-457
01.MMHAP42FRA7.seq	WC-1160
01.MMHAP47FLA1.seq	WC-565
01.MMHAP53FLA1.seq	WC-205
01.MMHAP54FLA1.seq	WC-646
01.MMHAP57FRA7.seq	WC-866
01.MMHAP58FLA1.seq	WC-1015
01.MMHAP59FRA7.seq	WC-174
01.MMHAP62FLA1.seq	WC-565
01.MMHAP62FRA7.seq	WC-314
01.MMHAP63FLA1.seq	WC-858
01.MMHAP63FRA7.seq	WC-566
01.MMHAP64FLA1.seq	WC-95
01.MMHAP67FLA1.seq	WC-545
01.MMHAP69FLA1.seq	WC-859
01.MMHAP6FLA1.seq	WC-654
01.MMHAP6FRA7.seq	WC-573
01.MMHAP71FRA7.seq	WC-802
01.MMHAP76FLA1.seq	WC-438
01.MMHAP84FRA7.seq	WC-727
01.MMHAP85FRA7.seq	WC-505
01.MMHAP88FLA1.seq	WC-928
01.MMHAP88FRA7.seq	WC-49
01.MMHAP8FRA7.seq	WC-705
01.MMHAP90FLA1.seq	WC-41
01.MMHAP90FRA7.seq	WC-1108
01.MMHAP93FRA7.seq	WC-15
01.MMHAP95FRA7.seq	WC-174
01.MMHAP96FRA7.seq	WC-868
01.MMHAP9FLA1.seq	WC-45
01.mHAa9f1.seq	WC-450
02.MHAa50e2.seq	WC-1170
02.MHAa56e2.seq	WC-866
02.MHAa64e2.seq	WC-719
02.MHAa89e2.seq	WC-328
02.MHAa92a2.seq	WC-888
02.MHAa92e2.seq	WC-270
02.MMHAP11FLA2.seq	WC-176
02.MMHAP11FRA8.seq	WC-476
02.MMHAP15FLA2.seq	WC-877
02.MMHAP15FRA8.seq	WC-240
02.MMHAP16FLA2.seq	WC-1058
02.MMHAP16FRA8.seq	WC-389
02.MMHAP17FA2.seq	WC-429
02.MMHAP19FRA8.seq	WC-763
02.MMHAP26FLA2.seq	WC-1028
02.MMHAP26FRA8.seq	WC-191
02.MMHAP32FLA2.seq	WC-158
02.MMHAP35FLA2.seq	WC-1016
02.MMHAP36FLA2.seq	WC-478
02.MMHAP37FLA2.seq	WC-816
02.MMHAP4FRA8.seq	WC-1047
02.MMHAP56FRA8.seq	WC-258
02.MMHAP5FLA2.seq	WC-172
02.MMHAP62FLA2.seq	WC-236
02.MMHAP64FRA8.seq	WC-417
02.MMHAP67FRA8.seq	WC-645
02.MMHAP6FLA2.seq	WC-966
02.MMHAP76FLA2.seq	WC-1038
02.MMHAP81FRA8.seq	WC-310
02.MMHAP85FRA8.seq	WC-574
02.MMHAP86FRA8.seq	WC-399
02.MMHAP90FLA2.seq	WC-163
02.MMHAP91FRA8.seq	WC-491
02.MMHAP95FRA8.seq	WC-989
02.MMHAP9FRA8.seq	WC-615
02.mHAa3d2.seq	WC-985
03.E1_9_6_95.seq	WC-236
03.MHAa75a3.seq	WC-976
03.MHAa89e3.seq	WC-580
03.MHAa92e3.seq	WC-604
03.MHAa96a3.seq	WC-979
03.MMHAP11FLA3.seq	WC-109
03.MMHAP15FLA3.seq	WC-900
03.MMHAP15FRA9.seq	WC-240
03.MMHAP16FRA9.seq	WC-530
03.MMHAP23FLA3.seq	WC-509
03.MMHAP24FLA3.seq	WC-595
03.MMHAP26FRA9.seq	WC-17
03.MMHAP27FRA9.seq	WC-1010
03.MMHAP28FRA9.seq	WC-207
03.MMHAP34FRA9.seq	WC-167
03.MMHAP35FLA3.seq	WC-174
03.MMHAP35FRA9.seq	WC-427
03.MMHAP36FLA3.seq	WC-37
03.MMHAP37FLA3.seq	WC-1099
03.MMHAP38FRA9.seq	WC-488
03.MMHAP4FRA9.seq	WC-435
03.MMHAP54FRA9.seq	WC-921
03.MMHAP63FLA3.seq	WC-189
03.MMHAP64FLA3.seq	WC-224
03.MMHAP6FLA3.seq	WC-943
03.MMHAP70FRA9.seq	WC-408
03.MMHAP76FLA3.seq	WC-374
03.MMHAP81FRA9.seq	WC-651
03.MMHAP83FRA9.seq	WC-559
03.MMHAP85FLA3.seq	WC-2
03.MMHAP86FRA9.seq	WC-862
03.MMHAP88FRA9.seq	WC-900
03.MMHAP8FRA9.seq	WC-1053
03.MMHAP94FLA3.seq	WC-581
03.MMHAP94FRA9.seq	WC-42
03.MMHAP95FRA9.seq	WC-851
03.MMHAP9FLA3.seq	WC-314
03.mHAa9f3.seq	WC-37
04.MHAa43c4.seq	WC-421
04.MHAa63a4.seq	WC-24
04.MHAa92e4.seq	WC-414
04.MHAa93e4.seq	WC-293
04.MHAa98e4.seq	WC-709
04.MMHAP15FLB1.seq	WC-727
04.MMHAP16FLB1.seq	WC-758
04.MMHAP17FB1.seq	WC-898
04.MMHAP24FLB1.seq	WC-1019
04.MMHAP25FLB1.seq	WC-293
04.MMHAP27FLB1.seq	WC-35
04.MMHAP27FRB7.seq	WC-1157
04.MMHAP28FRB7.seq	WC-1119
04.MMHAP31FLB1.seq	WC-1062
04.MMHAP35FLB1.seq	WC-1138
04.MMHAP36FRB7.seq	WC-578
04.MMHAP37FLB1.seq	WC-60
04.MMHAP38FLB1.seq	WC-640
04.MMHAP3FLB1.seq	WC-989
04.MMHAP54FLB1.seq	WC-543
04.MMHAP59FLB1.seq	WC-342
04.MMHAP59FRB7.seq	WC-1031
04.MMHAP63FLB1.seq	WC-650
04.MMHAP64FRB7.seq	WC-959
04.MMHAP67FLB1.seq	WC-299
04.MMHAP71FRB7.seq	WC-944
04.MMHAP75FRB7.seq	WC-103
04.MMHAP7FLB1.seq	WC-846
04.MMHAP88FRB7.seq	WC-1108
04.MMHAP90FLB1.seq	WC-859
04.MMHAP90FRB7.seq	WC-234
04.MMHAP91FLB1.seq	WC-519
04.MMHAP9FLB1.seq	WC-427
04.MMHAP9FRB7.seq	WC-57
05.MHAa56e5.seq	WC-268
05.MMHAP12FLB2.seq	WC-216
05.MMHAP12FRB8.seq	WC-1010
05.MMHAP14FLB2.seq	WC-723
05.MMHAP18FLB2.seq	WC-333
05.MMHAP19FRB8.seq	WC-1084
05.MMHAP20FRB8.seq	WC-632
05.MMHAP25FLB2.seq	WC-78
05.MMHAP25FRB8.seq	WC-1056
05.MMHAP26FLB2.seq	WC-741
05.MMHAP28FRB8.seq	WC-241
05.MMHAP29FLB2.seq	WC-941
05.MMHAP31FLB2.seq	WC-771
05.MMHAP34FRB8.seq	WC-1138
05.MMHAP36FRB8.seq	WC-151
05.MMHAP38FLB2.seq	WC-1069
05.MMHAP3FRB8.seq	WC-60
05.MMHAP40FRB8.seq	WC-1042
05.MMHAP4FRB8.seq	WC-640
05.MMHAP51FRB8.seq	WC-360
05.MMHAP54FLB2.seq	WC-805
05.MMHAP54FRB8.seq	WC-171
05.MMHAP56FRB8.seq	WC-236
05.MMHAP58FLB2.seq	WC-952
05.MMHAP58FRB8.seq	WC-506
05.MMHAP59FLB2.seq	WC-10
05.MMHAP62FRB8.seq	WC-720
05.MMHAP63FLB2.seq	WC-1028
05.MMHAP64FRB8.seq	WC-623
05.MMHAP66FLB2.seq	WC-68
05.MMHAP71FRB8.seq	WC-132
05.MMHAP76FLB2.seq	WC-373
05.MMHAP7FLB2.seq	WC-531
05.MMHAP80FLB2.seq	WC-344
05.MMHAP82FRB8.seq	WC-728
05.MMHAP84FLB2.seq	WC-477
05.MMHAP84FRB8.seq	WC-33
05.MMHAP90FLB2.seq	WC-538
05.MMHAP91FLB2.seq	WC-1032
05.MMHAP9FLB2.seq	WC-14
05.MMHAP9FRB8.seq	WC-846
05.mHAa7h5.seq	WC-1015
06.MHAa63a6.seq	WC-87
06.MHAa81T_M13Rev.seq	WC-832
06.MMHAP10FRB9.seq	WC-132
06.MMHAP14FLB3.seq	WC-938
06.MMHAP14FRB9.seq	WC-345
06.MMHAP15FLB3.seq	WC-678
06.MMHAP15FRB9.seq	WC-163
06.MMHAP16FLB3.seq	WC-981
06.MMHAP16FRB9.seq	WC-1098
06.MMHAP23FLB3.seq	WC-183
06.MMHAP25FRB9.seq	WC-18
06.MMHAP32FLB3.seq	WC-762
