Locus	Assay	Chrom	Genetic Position	Contig	Yacs
	41.MMHAP36FLF5.seq				121_C_5 168_B_1
	11.MMHAP80FRD8.seq				349_B_12 410_H_2 441_C_4
	07.MMHAP20FRC7.seq				161_H_11 239_E_1 342_D_10
	MHAa15h7.seq				418_H_11
	21.MMHAP87FLG3.seq				203_B_1 377_A_7 384_B_3 418_C_12
	26.MMHAP64FLA5.seq				150_A_5 167_B_5
	12.MMHAP88FRD9.seq				114_H_3 179_D_7 218_E_1 316_F_9 410_A_2
	25.MHAa58c1.seq				162_B_2 200_G_9 218_A_4 356_G_9 454_E_1
	18.MMHAP64FLF3.seq				160_H_6 161_C_6 187_C_1 334_B_1 393_H_5
	07.MMHAP67FLC1.seq				149_H_11 167_F_8 199_F_5 274_F_2 409_H_5 465_B_6
	27.MMHAP26FLA6.seq				132_D_2 164_H_5 312_D_8 324_E_10 325_F_5 334_E_5 349_F_3 382_H_11 388_A_7 409_H_11
	MHAa28c7.seq				166_C_2 396_H_2
	MHAa54f4.seq				200_C_1 408_H_5 457_F_5
	15.MMHAP36FLE3.seq				140_B_12 172_D_10 179_D_9 188_E_4 289_D_11 305_E_6 384_B_6 387_B_9 428_H_6 454_G_5
	21.MMHAP86FRG9.seq				134_G_1 295_B_3 295_B_4-f 416_E_4
	45.MHAa56h9.seq				123_C_3 362_G_5 376_F_12 417_E_6
	19.MMHAP91FLG1.seq				114_C_7 281_G_2 281_H_1
	06.mHAa7h6.seq				138_B_7 138_C_7 147_C_5 240_E_3 285_F_1 323_B_11 323_C_11 332_C_10 448_G_11
	28.MHAa62T.seq				159_B_10 160_G_11 344_A_3
	U02026				287_D_2 386_F_4 387_H_4 415_E_4
	X13605				127_H_2 147_A_9 434_C_8
	MHAa74f12.seq				166_E_3 302_C_9 409_B_6 438_F_12 440_B_9 440_E_6 441_H_12
	24.MMHAP7FLH3.seq				133_A_7 211_C_10 281_D_2 440_B_12 456_D_3
	44.MMHAP59FRG11.seq				121_F_6 122_C_1 156_B_11 165_B_4 452_A_6
	Results_H8_17_95_8.20_PM-21.seq				378_G_4
	06.MMHAP66FLB3.seq				120_C_5 167_A_1 168_C_6 292_B_4 362_F_4 381_F_1 391_E_1 455_C_12
	32.MMHAP34FLC5.seq				163_H_1 240_D_2 375_D_1
	D29987				386_C_7
	44.MMHAP25FLG5.seq				173_A_4 185_C_5 193_G_5 437_B_2 460_E_4
	22.MMHAP31FLH1.seq				139_C_8
	R75361				357_C_6 382_A_7 385_F_1 393_E_4
	46.MMHAP53FLH4.seq				141_E_9
	41.MMHAP25FRF11.seq				198_C_2 309_H_9 328_F_5 335_C_5 385_G_7 416_D_9 432_F_9 434_E_2 434_G_1 87_E_7
	40.MMHAP17FF4.seq				129_E_6 160_G_3 332_D_5 387_A_2 419_A_9
	MHAa87g5.seq				127_G_9 133_C_4 324_B_1
	M88242				335_C_12 361_H_6 391_B_7 458_E_4 458_H_2 458_H_3 462_B_9
	41.MHAa92h5.seq				255_G_2 313_H_2
	MHAa13b10.seq				128_B_2 214_B_6 214_C_6 312_D_4 445_A_4
	21.MHAa55f9.seq				139_B_2
	04.MMHAP76FLB1.seq				180_A_2 326_G_7 362_B_11 454_H_7-f 454_H_8
	47.MMHAP10FRH11.seq				137_F_4 321_B_4 376_G_2 451_F_8
	MHAa59h11.seq				162_A_8 321_B_9 386_E_9 418_B_12
	Results_ER_9_6_95_58.seq				325_C_10 454_F_8 454_G_11
	34.MMHAP34FRD10.seq				147_B_1
	44.MMHAP40FRG11.seq				122_F_11 139_H_1 149_F_10 152_E_2 156_F_6 200_B_8 214_A_2 281_D_8 307_H_4 358_H_4 391_G_10 391_G_12 402_A_6
	34.MHAa59c10.seq				455_D_12 455_E_7 455_F_1
	48.MMHAP25FRH12.seq				116_H_1 128_H_2 148_C_1 149_C_3 274_D_3 311_E_6 343_B_7 414_A_4 464_H_6
	Results_ER_8_28_95_2_26.seq				121_H_9 357_B_4 405_D_5
	MHAa88f11.seq				115_B_7 115_B_9 121_E_2 299_F_1 348_D_8 410_E_3 417_C_8-f 433_A_11
	MHAa75e3.seq				418_A_6 441_H_7
	Results_ER_8_29_95_1_16.seq				321_C_11
	N28197				123_H_10 311_A_11 317_C_3
	MHAa31c1.seq				159_F_6 224_H_6 345_C_12
	05.MMHAP33FRB8.seq				128_C_5 128_H_6 171_A_1 187_H_3 224_A_1 378_B_10 419_G_10
	09.MMHAP66FLC3.seq				282_G_9 398_H_1 398_H_4
	U28406				144_H_12 156_D_11 223_B_4 351_H_12 429_A_4 433_E_4 434_F_8 458_F_6
	MHAa84f4.seq				188_F_8 282_A_6 351_D_6 375_A_11 388_A_9 410_C_4 87_A_8
	14.MHAa75b2.seq				127_H_7 134_B_4 140_H_8 164_D_6 188_A_6 406_H_10 450_D_10
